구분,죄종,발생검거,건수
중부,살인,발생,3
중부,살인,검거,2
중부,강도,발생,1
중부,강도,검거,1
중부,"강간,추행",발생,108
중부,"강간,추행",검거,74
중부,절도,발생,820
중부,절도,검거,464
중부,폭력,발생,874
중부,폭력,검거,793
종로,살인,발생,1
종로,살인,검거,0
종로,강도,발생,4
종로,강도,검거,5
종로,"강간,추행",발생,132
종로,"강간,추행",검거,91
종로,절도,발생,641
종로,절도,검거,382
종로,폭력,발생,782
종로,폭력,검거,655
남대문,살인,발생,2
남대문,살인,검거,2
남대문,강도,발생,4
남대문,강도,검거,4
남대문,"강간,추행",발생,69
남대문,"강간,추행",검거,47
남대문,절도,발생,578
남대문,절도,검거,352
남대문,폭력,발생,496
남대문,폭력,검거,441
서대문,살인,발생,3
서대문,살인,검거,3
서대문,강도,발생,0
서대문,강도,검거,0
서대문,"강간,추행",발생,131
서대문,"강간,추행",검거,119
서대문,절도,발생,"1014"
서대문,절도,검거,588
서대문,폭력,발생,906
서대문,폭력,검거,776
혜화,살인,발생,1
혜화,살인,검거,1
혜화,강도,발생,1
혜화,강도,검거,1
혜화,"강간,추행",발생,77
혜화,"강간,추행",검거,55
혜화,절도,발생,542
혜화,절도,검거,318
혜화,폭력,발생,584
혜화,폭력,검거,535
용산,살인,발생,10
용산,살인,검거,6
용산,강도,발생,4
용산,강도,검거,3
용산,"강간,추행",발생,267
용산,"강간,추행",검거,235
용산,절도,발생,"1082"
용산,절도,검거,589
용산,폭력,발생,"1959"
용산,폭력,검거,"1642"
성북,살인,발생,1
성북,살인,검거,1
성북,강도,발생,0
성북,강도,검거,0
성북,강간,발생,79
성북,강간,검거,57
성북,절도,발생,502
성북,절도,검거,306
성북,폭력,발생,593
성북,폭력,검거,541
동대문,살인,발생,7
동대문,살인,검거,6
동대문,강도,발생,4
동대문,강도,검거,2
동대문,"강간,추행",발생,125
동대문,"강간,추행",검거,110
동대문,절도,발생,"1617"
동대문,절도,검거,"1060"
동대문,폭력,발생,"1463"
동대문,폭력,검거,"1304"
마포,살인,발생,4
마포,살인,검거,3
마포,강도,발생,4
마포,강도,검거,5
마포,"강간,추행",발생,503
마포,"강간,추행",검거,389
마포,절도,발생,"1471"
마포,절도,검거,949
마포,폭력,발생,"1909"
마포,폭력,검거,"1687"
영등포,살인,발생,11
영등포,살인,검거,11
영등포,강도,발생,6
영등포,강도,검거,5
영등포,"강간,추행",발생,284
영등포,"강간,추행",검거,204
영등포,절도,발생,"1791"
영등포,절도,검거,"1323"
영등포,폭력,발생,"2075"
영등포,폭력,검거,"1804"
성동,살인,발생,5
성동,살인,검거,6
성동,강도,발생,3
성동,강도,검거,3
성동,"강간,추행",발생,114
성동,"강간,추행",검거,90
성동,절도,발생,966
성동,절도,검거,544
성동,폭력,발생,"1029"
성동,폭력,검거,867
동작,살인,발생,1
동작,살인,검거,1
동작,강도,발생,1
동작,강도,검거,1
동작,"강간,추행",발생,180
동작,"강간,추행",검거,109
동작,절도,발생,"1085"
동작,절도,검거,598
동작,폭력,발생,"1187"
동작,폭력,검거,"1051"
광진,살인,발생,2
광진,살인,검거,2
광진,강도,발생,6
광진,강도,검거,7
광진,"강간,추행",발생,235
광진,"강간,추행",검거,183
광진,절도,발생,"1320"
광진,절도,검거,942
광진,폭력,발생,"1307"
광진,폭력,검거,"1085"
서부,살인,발생,4
서부,살인,검거,4
서부,강도,발생,1
서부,강도,검거,4
서부,"강간,추행",발생,55
서부,"강간,추행",검거,49
서부,절도,발생,722
서부,절도,검거,463
서부,폭력,발생,758
서부,폭력,검거,670
강북,살인,발생,6
강북,살인,검거,6
강북,강도,발생,0
강북,강도,검거,0
강북,"강간,추행",발생,142
강북,"강간,추행",검거,112
강북,절도,발생,970
강북,절도,검거,835
강북,폭력,발생,"1171"
강북,폭력,검거,"1108"
금천,살인,발생,7
금천,살인,검거,6
금천,강도,발생,3
금천,강도,검거,3
금천,"강간,추행",발생,129
금천,"강간,추행",검거,99
금천,절도,발생,886
금천,절도,검거,685
금천,폭력,발생,992
금천,폭력,검거,917
중랑,살인,발생,5
중랑,살인,검거,5
중랑,강도,발생,2
중랑,강도,검거,2
중랑,"강간,추행",발생,143
중랑,"강간,추행",검거,116
중랑,절도,발생,"1437"
중랑,절도,검거,931
중랑,폭력,발생,"1582"
중랑,폭력,검거,"1409"
강남,살인,발생,8
강남,살인,검거,7
강남,강도,발생,12
강남,강도,검거,9
강남,"강간,추행",발생,461
강남,"강간,추행",검거,371
강남,절도,발생,"1123"
강남,절도,검거,625
강남,폭력,발생,"2103"
강남,폭력,검거,"1825"
관악,살인,발생,4
관악,살인,검거,5
관악,강도,발생,3
관악,강도,검거,2
관악,"강간,추행",발생,338
관악,"강간,추행",검거,284
관악,절도,발생,"1971"
관악,절도,검거,"1212"
관악,폭력,발생,"2169"
관악,폭력,검거,"2013"
강서,살인,발생,5
강서,살인,검거,5
강서,강도,발생,6
강서,강도,검거,4
강서,"강간,추행",발생,271
강서,"강간,추행",검거,214
강서,절도,발생,"1670"
강서,절도,검거,"1275"
강서,폭력,발생,"2056"
강서,폭력,검거,"1913"
강동,살인,발생,3
강동,살인,검거,4
강동,강도,발생,4
강동,강도,검거,4
강동,"강간,추행",발생,164
강동,"강간,추행",검거,140
강동,절도,발생,"1662"
강동,절도,검거,990
강동,폭력,발생,"1517"
강동,폭력,검거,"1372"
종암,살인,발생,2
종암,살인,검거,1
종암,강도,발생,1
종암,강도,검거,1
종암,강간,발생,67
종암,강간,검거,50
종암,절도,발생,382
종암,절도,검거,272
종암,폭력,발생,557
종암,폭력,검거,518
구로,살인,발생,7
구로,살인,검거,6
구로,강도,발생,0
구로,강도,검거,1
구로,"강간,추행",발생,186
구로,"강간,추행",검거,133
구로,절도,발생,"1572"
구로,절도,검거,918
구로,폭력,발생,"1613"
구로,폭력,검거,"1405"
서초,살인,발생,9
서초,살인,검거,9
서초,강도,발생,3
서초,강도,검거,1
서초,"강간,추행",발생,321
서초,"강간,추행",검거,275
서초,절도,발생,"1309"
서초,절도,검거,861
서초,폭력,발생,"1444"
서초,폭력,검거,"1247"
양천,살인,발생,4
양천,살인,검거,4
양천,강도,발생,1
양천,강도,검거,1
양천,강간,발생,109
양천,강간,검거,88
양천,절도,발생,"1518"
양천,절도,검거,832
양천,폭력,발생,"1368"
양천,폭력,검거,"1188"
송파,살인,발생,6
송파,살인,검거,5
송파,강도,발생,3
송파,강도,검거,5
송파,"강간,추행",발생,315
송파,"강간,추행",검거,255
송파,절도,발생,"2502"
송파,절도,검거,"1506"
송파,폭력,발생,"2348"
송파,폭력,검거,"2019"
노원,살인,발생,7
노원,살인,검거,5
노원,강도,발생,3
노원,강도,검거,2
노원,"강간,추행",발생,146
노원,"강간,추행",검거,126
노원,절도,발생,"1508"
노원,절도,검거,899
노원,폭력,발생,"1437"
노원,폭력,검거,"1377"
방배,살인,발생,1
방배,살인,검거,1
방배,강도,발생,2
방배,강도,검거,1
방배,강간,발생,43
방배,강간,검거,37
방배,절도,발생,276
방배,절도,검거,156
방배,폭력,발생,380
방배,폭력,검거,340
은평,살인,발생,5
은평,살인,검거,5
은평,강도,발생,0
은평,강도,검거,0
은평,"강간,추행",발생,77
은평,"강간,추행",검거,59
은평,절도,발생,795
은평,절도,검거,530
은평,폭력,발생,800
은평,폭력,검거,679
도봉,살인,발생,7
도봉,살인,검거,3
도봉,강도,발생,0
도봉,강도,검거,1
도봉,강간,발생,73
도봉,강간,검거,61
도봉,절도,발생,800
도봉,절도,검거,520
도봉,폭력,발생,861
도봉,폭력,검거,794
수서,살인,발생,8
수서,살인,검거,10
수서,강도,발생,5
수서,강도,검거,3
수서,"강간,추행",발생,179
수서,"강간,추행",검거,162
수서,절도,발생,974
수서,절도,검거,515
수서,폭력,발생,"1234"
수서,폭력,검거,"1043"
