발생년도,경찰서,살인,강도,절도,폭력
2024,서울중부서,3,1,820,874
2024,서울종로서,1,4,641,782
2024,서울남대문서,2,4,578,496
2024,서울서대문서,3,0,1014,906
2024,서울혜화서,1,1,542,584
2024,서울용산서,10,4,1082,1959
2024,서울성북서,1,0,502,593
2024,서울동대문서,7,4,1617,1463
2024,서울마포서,4,4,1471,1909
2024,서울영등포서,11,6,1791,2075
2024,서울성동서,5,3,966,1029
2024,서울동작서,1,1,1085,1187
2024,서울광진서,2,6,1320,1307
2024,서울서부서,4,1,722,758
2024,서울강북서,6,0,970,1171
2024,서울금천서,7,3,886,992
2024,서울중랑서,5,2,1437,1582
2024,서울강남서,8,12,1123,2103
2024,서울관악서,4,3,1971,2169
2024,서울강서서,5,6,1670,2056
2024,서울강동서,3,4,1662,1517
2024,서울종암서,2,1,382,557
2024,서울구로서,7,0,1572,1613
2024,서울서초서,9,3,1309,1444
2024,서울양천서,4,1,1518,1368
2024,서울송파서,6,3,2502,2348
2024,서울노원서,7,3,1508,1437
2024,서울방배서,1,2,276,380
2024,서울은평서,5,0,795,800
2024,서울도봉서,7,0,800,861
2024,서울수서서,8,5,974,1234
2024,부산중부서,1,1,571,644
2024,부산동래서,3,4,1264,1097
2024,부산영도서,2,1,443,488
2024,부산동부서,2,5,572,730
2024,부산진서,4,8,2677,2852
2024,부산서부서,3,1,662,471
2024,부산남부서,6,1,1435,1822
2024,부산해운대서,2,1,1672,1398
2024,부산사상서,5,1,797,1070
2024,부산금정서,4,4,878,860
2024,부산사하서,5,3,953,1220
2024,부산연제서,6,4,1056,1307
2024,부산강서서,3,2,446,621
2024,부산북부서,5,2,1137,890
2024,부산기장서,1,1,450,660
2024,대구중부서,2,1,1175,997
2024,대구동부서,4,9,1244,1650
2024,대구서부서,3,2,1046,973
2024,대구남부서,0,0,676,765
2024,대구북부서,2,1,854,788
2024,대구수성서,8,0,1011,1414
2024,대구달서서,4,0,975,911
2024,대구성서서,4,1,987,1270
2024,대구달성서,4,0,907,778
2024,대구강북서,2,1,692,785
2024,대구군위서,0,0,93,79
2024,인천중부서,6,4,1013,1209
2024,인천미추홀서,14,8,1444,2395
2024,인천남동서,6,3,814,1337
2024,인천부평서,2,6,1050,1104
2024,인천서부서,8,6,1357,2122
2024,인천계양서,4,1,825,1152
2024,인천강화서,1,0,168,312
2024,인천연수서,7,2,1185,1364
2024,인천삼산서,5,2,1091,1590
2024,인천논현서,2,1,426,871
2024,광주동부서,1,0,560,669
2024,광주서부서,4,7,1246,1634
2024,광주북부서,5,3,1878,1437
2024,광주광산서,4,7,1657,1814
2024,광주남부서,2,1,758,697
2024,대전중부서,0,1,1168,1542
2024,대전동부서,7,5,1024,1253
2024,대전서부서,5,2,953,1102
2024,대전대덕서,2,1,540,809
2024,대전둔산서,5,3,907,1413
2024,대전유성서,8,6,1093,1225
2024,울산남부서,3,4,956,1652
2024,울산중부서,7,0,531,689
2024,울산울주서,6,2,504,747
2024,울산동부서,5,5,498,723
2024,울산북부서,2,1,713,706
2024,세종북부서,0,1,312,317
2024,세종남부서,4,0,804,585
2024,경기수원중부서,4,1,1555,1304
2024,경기수원남부서,8,2,2053,2530
2024,경기수원서부서,5,4,1429,1407
2024,경기안양동안서,0,0,777,903
2024,경기안양만안서,0,0,818,905
2024,경기군포서,3,1,875,774
2024,경기성남수정서,6,3,1263,1228
2024,경기성남중원서,3,1,897,1324
2024,경기분당서,0,2,917,1301
2024,경기부천소사서,3,2,956,853
2024,경기부천원미서,3,1,2117,2288
2024,경기부천오정서,5,1,588,730
2024,경기광명서,4,2,873,1093
2024,경기안산단원서,8,4,1660,2070
2024,경기안산상록서,4,4,1064,1670
2024,경기시흥서,12,4,1726,2600
2024,경기평택서,11,6,2433,3420
2024,경기오산서,3,1,954,1256
2024,경기화성서부서,8,3,1395,1669
2024,경기용인동부서,5,1,2204,2349
2024,경기용인서부서,7,0,997,897
2024,경기광주서,4,5,1016,1673
2024,경기과천서,2,0,328,180
2024,경기의왕서,1,0,237,363
2024,경기하남서,4,1,877,1039
2024,경기이천서,1,1,606,956
2024,경기김포서,8,3,1964,2058
2024,경기안성서,3,0,680,836
2024,경기여주서,0,0,298,435
2024,경기양평서,2,0,288,482
2024,경기화성동탄서,6,4,1501,1816
2024,경기의정부서,4,2,1476,2130
2024,경기고양서,8,4,1377,1754
2024,경기일산동부서,3,4,817,1195
2024,경기일산서부서,0,2,454,822
2024,경기남양주남부서,5,8,949,1310
2024,경기남양주북부서,2,1,617,948
2024,경기파주서,11,6,1420,2067
2024,경기양주서,2,4,660,1075
2024,경기동두천서,3,4,359,560
2024,경기구리서,1,0,571,711
2024,경기포천서,1,1,411,712
2024,경기가평서,1,0,139,308
2024,경기연천서,1,0,132,278
2024,강원강릉서,5,2,649,1206
2024,강원고성서,0,1,82,139
2024,강원동해서,1,0,188,424
2024,강원삼척서,1,0,166,296
2024,강원속초서,0,1,340,735
2024,강원양구서,1,0,59,99
2024,강원영월서,0,0,68,163
2024,강원원주서,2,3,1125,1493
2024,강원인제서,0,0,47,92
2024,강원정선서,2,0,209,186
2024,강원철원서,1,1,83,152
2024,강원춘천서,3,3,816,1157
2024,강원태백서,0,1,119,158
2024,강원평창서,0,0,83,174
2024,강원홍천서,4,0,179,285
2024,강원화천서,0,0,42,97
2024,강원횡성서,1,1,102,137
2024,충북괴산서,0,1,116,232
2024,충북단양서,0,0,39,106
2024,충북보은서,0,1,75,93
2024,충북영동서,1,0,52,98
2024,충북옥천서,0,0,100,161
2024,충북음성서,1,1,421,484
2024,충북제천서,3,1,408,411
2024,충북진천서,3,0,249,438
2024,충북청주청원서,1,3,1510,991
2024,충북청주흥덕서,8,2,1377,1241
2024,충북충주서,3,2,609,713
2024,충북청주상당서,4,1,900,881
2024,충남천안서북서,4,7,1978,2181
2024,충남천안동남서,2,5,970,1106
2024,충남서산서,5,4,349,742
2024,충남아산서,5,5,1188,1522
2024,충남논산서,1,2,418,518
2024,충남공주서,3,0,244,315
2024,충남보령서,2,1,290,345
2024,충남당진서,4,0,314,742
2024,충남홍성서,4,0,203,256
2024,충남예산서,3,3,184,284
2024,충남부여서,2,0,148,166
2024,충남서천서,2,0,81,182
2024,충남금산서,2,0,96,186
2024,충남청양서,0,0,67,101
2024,충남태안서,2,2,122,323
2024,전북고창서,0,0,77,187
2024,전북군산서,6,1,747,1089
2024,전북김제서,2,0,162,292
2024,전북남원서,1,2,242,309
2024,전북무주서,0,0,29,74
2024,전북부안서,0,0,101,157
2024,전북순창서,0,0,39,61
2024,전북완주서,0,0,224,302
2024,전북익산서,5,3,1024,1182
2024,전북임실서,0,0,51,52
2024,전북장수서,0,0,42,60
2024,전북전주덕진서,2,5,1494,1359
2024,전북전주완산서,3,2,1177,1259
2024,전북정읍서,1,2,444,424
2024,전북진안서,1,0,47,64
2024,전남목포서,3,3,963,1212
2024,전남여수서,8,3,713,1304
2024,전남순천서,2,1,764,1290
2024,전남나주서,0,1,351,459
2024,전남광양서,1,0,400,643
2024,전남고흥서,2,0,146,260
2024,전남해남서,0,0,157,270
2024,전남무안서,0,0,238,313
2024,전남장흥서,0,0,89,150
2024,전남보성서,0,0,115,143
2024,전남영광서,2,1,135,194
2024,전남화순서,2,1,139,210
2024,전남함평서,0,0,111,111
2024,전남영암서,1,3,135,257
2024,전남장성서,1,0,142,155
2024,전남강진서,1,0,80,143
2024,전남담양서,0,0,110,141
2024,전남곡성서,0,0,56,87
2024,전남완도서,0,1,164,216
2024,전남진도서,0,0,110,155
2024,전남구례서,1,0,75,97
2024,전남신안서,0,0,86,121
2024,경북경주서,1,2,1053,997
2024,경북포항북부서,3,1,814,853
2024,경북포항남부서,1,2,1108,909
2024,경북구미서,5,2,1755,1564
2024,경북경산서,1,4,920,1111
2024,경북안동서,2,2,401,549
2024,경북김천서,1,1,385,506
2024,경북영주서,2,1,198,428
2024,경북영천서,6,0,281,431
2024,경북상주서,1,0,357,341
2024,경북문경서,1,0,235,258
2024,경북칠곡서,3,1,275,526
2024,경북의성서,1,0,161,141
2024,경북청도서,1,1,171,202
2024,경북영덕서,3,0,112,183
2024,경북울진서,1,2,111,177
2024,경북봉화서,1,0,59,86
2024,경북예천서,1,0,115,172
2024,경북성주서,1,0,146,170
2024,경북청송서,1,0,59,135
2024,경북영양서,0,0,40,68
2024,경북군위서,0,0,0,0
2024,경북고령서,0,0,80,113
2024,경북울릉서,0,0,5,25
2024,경남창원중부서,3,2,1001,1028
2024,경남창원서부서,3,2,687,814
2024,경남마산중부서,6,0,626,846
2024,경남마산동부서,1,0,767,915
2024,경남진주서,4,1,3045,1406
2024,경남김해중부서,6,6,1680,1285
2024,경남김해서부서,4,2,784,871
2024,경남양산서,7,1,1380,1470
2024,경남거제서,3,3,856,1179
2024,경남진해서,1,1,549,720
2024,경남통영서,5,3,423,769
2024,경남사천서,4,2,267,496
2024,경남밀양서,1,0,246,493
2024,경남거창서,1,1,128,223
2024,경남합천서,0,0,100,150
2024,경남창녕서,3,1,156,223
2024,경남고성서,2,0,127,174
2024,경남하동서,1,1,95,159
2024,경남남해서,1,0,65,116
2024,경남함양서,0,0,63,110
2024,경남산청서,1,0,45,98
2024,경남함안서,0,2,89,192
2024,경남의령서,0,0,40,126
2024,제주서귀포서,4,5,791,1230
2024,제주동부서,5,2,1065,1775
2024,제주서부서,4,4,1192,1529
